file	mean	variance	hash	
known-849.png	146.506134	2307.940186	ee264c38df6292a6b305ff7ea596845f2dfc5728947e7c67f8fea43e9fdbca90
known-959.png	132.372070	2907.608398	edc7f32bd14bdc04007f7878d2341a1e8798d6e140c2231e8d29e76562725112
known-851.png	152.593994	1808.905762	edc7d388619058336841f4750fca1cd78d787a6c8e9ac82b19ada4615caafa7a
known-486.png	113.566025	1700.824097	ed5b8bce72ecf68e7bfe985f1b01b05e5aec19c57d1d5fe5445c2249bfcb2aad
known-571.png	142.380524	4461.047852	ed07fd5c679011e2243714138ed3bbad80e89629a7bae7661c6a50dc1510deb8
known-381.png	121.662888	3546.038818	ec5b58b0452301f01168f842ca8dc924ad23480de0929bc87efc96696370cda8
known-815.png	132.265366	2844.020996	ec4dff194d44a3c595e1525d3440aaaea84d614e09dde20f0ebb868877b65164
known-944.png	128.880478	2110.209961	ec3230ca4c7381ef30be520383165fd6edeb01c90aa72772082e864db62fc63a
known-290.png	151.229828	1544.041260	ebe282fb8ed6fdbdbb82c4000c288b831432d1ac747b4788da639b37a4769c52
known-467.png	151.436142	887.084595	ebc0729065f36128e711458e9cf7173a1c5f43d0a88ffe5c15ea89d5eb13e99b
known-886.png	148.135498	2111.008301	eb6a4e5404b0680f070886e38fde5505ddf2884a26758b8a0014dea3d7fbb19c
known-129.png	151.576630	1706.278198	eb5805bf80ba4570248d04173d2c6bc32d35a4fd7392afc1a4da00637d7cf952
known-940.png	126.902863	2033.380127	eb54f0c4b5c00fbc0f750ba14b07d81575df6dda0e8fe38f98743238c720a8cd
known-495.png	136.707275	1138.802856	eb3ba5a8bf1b6bb90811dfc7b867fdbf730d064c49f9b695db85925ed6870c75
known-455.png	126.826469	3339.661133	eb2707513c370ea7c37bb47516e62d25431637da5982ee812861507c08fc75dc
known-594.png	123.729454	3678.087158	ead39cdd8b3235aaba5bb091b22d8844ecb3e0180a87b772545a6330e86ca55a
known-612.png	173.729111	1764.327515	eac54546e1edbc26b94771e7701affbc8b2c2c4294887767bab05b1cd892e69d
known-200.png	144.222672	1976.624146	ea6cd813541cde8fd66f2c06ba8d25e83f58c1bc2516ee2ef3e32cf78c0aeca2
known-175.png	139.691605	2341.972168	ea691c26a32bf9a3143b6c90378b51eba7f565260f225ff7c9a987ebdc8a75f5
known-725.png	140.547485	2717.589600	ea41182ddf5c8fd79acecbb17aab92f83127406aadd5ede80dc9c3ebfaf27949
known-640.png	161.654343	1576.668945	ea3f8d3702ebaf6958d8b4ab3f43ed9e382f35a1cc7cea01784c9fba6ce88cad
known-514.png	151.507919	1834.946289	e982e811cf1889d4d2548dcd44d337670a108b5b782279c2fa1a161dbfe4398f
known-331.png	126.562820	3167.088379	e93fc611d39d01a059d643d2056d0e13a98c39518e582aa7b0fd4422b0d80b15
known-680.png	152.088013	1807.558472	e8ee12c115569516d1bd372baaa8306b007c081045e8f18ea01069cbd0b8514e
known-889.png	147.120941	2118.169434	e8cec101dcd93812936971c1221d4766228287b7ccd0398b3c6cbb60dff0537f
known-716.png	143.059052	1989.969360	e87d0b42c270230d498176cf6e4c8a0cbce647dbd4d67717d4432b975f39acce
known-852.png	160.674667	1372.346191	e8258f4764023c0b399d908733e4086db6714786ef4bbfffa3cab9df1b07d91d
known-761.png	145.414261	1756.174805	e81d7b55bfc05c76ce91971ce5048deb3b1f649b9ed979b22f04294ce4838706
known-729.png	140.146210	2396.335449	e74fb745b50c9d872e4168e866faf1dbc0f5475d7f778d7599091e21df781b46
